image_path,file_name,split,folder_category,severity_score,target_class,original_parent,unique_filename
Dataset\Gambo\Train\Normal\G-835.png,G-835.png,Train,Normal,0,0,Train,Train_Normal_G-835.png
Dataset\Gambo\Train\Corrected\1_19649.png,1_19649.png,Train,Corrected,1,1,Train,Train_Corrected_1_19649.png
Dataset\Gambo\Train\Corrected\1_27111.png,1_27111.png,Train,Corrected,1,1,Train,Train_Corrected_1_27111.png
Dataset\Gambo\Train\Normal\P-345.png,P-345.png,Train,Normal,0,0,Train,Train_Normal_P-345.png
Dataset\Gambo\Train\Corrected\1_36789.png,1_36789.png,Train,Corrected,1,1,Train,Train_Corrected_1_36789.png
Dataset\Gambo\Test\Corrected\1_9339.png,1_9339.png,Train,Corrected,1,1,Test,Test_Corrected_1_9339.png
Dataset\Gambo\Train\Reversal\6_3194.png,6_3194.png,Train,Reversal,6,1,Train,Train_Reversal_6_3194.png
Dataset\Gambo\Test\Corrected\1_3031.png,1_3031.png,Train,Corrected,1,1,Test,Test_Corrected_1_3031.png
Dataset\Gambo\Train\Corrected\1_35574.png,1_35574.png,Train,Corrected,1,1,Train,Train_Corrected_1_35574.png
Dataset\Gambo\Train\Corrected\6_175.png,6_175.png,Train,Corrected,6,1,Train,Train_Corrected_6_175.png
Dataset\Gambo\Test\Reversal\6_315.png,6_315.png,Train,Reversal,6,1,Test,Test_Reversal_6_315.png
Dataset\Gambo\Train\Reversal\6_8134.png,6_8134.png,Train,Reversal,6,1,Train,Train_Reversal_6_8134.png
Dataset\Gambo\Test\Corrected\1_7403.png,1_7403.png,Train,Corrected,1,1,Test,Test_Corrected_1_7403.png
Dataset\Gambo\Train\Normal\D-1898.png,D-1898.png,Train,Normal,0,0,Train,Train_Normal_D-1898.png
Dataset\Gambo\Train\Corrected\1_17487.png,1_17487.png,Train,Corrected,1,1,Train,Train_Corrected_1_17487.png
Dataset\Gambo\Train\Reversal\6_3890.png,6_3890.png,Train,Reversal,6,1,Train,Train_Reversal_6_3890.png
Dataset\Gambo\Train\Reversal\6_30161.png,6_30161.png,Train,Reversal,6,1,Train,Train_Reversal_6_30161.png
Dataset\Gambo\Train\Corrected\4_2690.png,4_2690.png,Train,Corrected,4,1,Train,Train_Corrected_4_2690.png
Dataset\Gambo\Train\Reversal\6_7916.png,6_7916.png,Train,Reversal,6,1,Train,Train_Reversal_6_7916.png
Dataset\Gambo\Train\Corrected\3_5307.png,3_5307.png,Train,Corrected,3,1,Train,Train_Corrected_3_5307.png
Dataset\Gambo\Train\Reversal\6_26317.png,6_26317.png,Train,Reversal,6,1,Train,Train_Reversal_6_26317.png
Dataset\Gambo\Train\Reversal\6_2052.png,6_2052.png,Train,Reversal,6,1,Train,Train_Reversal_6_2052.png
Dataset\Gambo\Train\Reversal\6_2417.png,6_2417.png,Train,Reversal,6,1,Train,Train_Reversal_6_2417.png
Dataset\Gambo\Test\Reversal\6_2.png,6_2.png,Train,Reversal,6,1,Test,Test_Reversal_6_2.png
Dataset\Gambo\Train\Corrected\1_26819.png,1_26819.png,Train,Corrected,1,1,Train,Train_Corrected_1_26819.png
Dataset\Gambo\Train\Normal\M-1581.png,M-1581.png,Train,Normal,0,0,Train,Train_Normal_M-1581.png
Dataset\Gambo\Train\Reversal\6_14316.png,6_14316.png,Train,Reversal,6,1,Train,Train_Reversal_6_14316.png
Dataset\Gambo\Train\Normal\C-1961.png,C-1961.png,Train,Normal,0,0,Train,Train_Normal_C-1961.png
Dataset\Gambo\Test\Normal\M-48.png,M-48.png,Train,Normal,0,0,Test,Test_Normal_M-48.png
Dataset\Gambo\Train\Normal\C-1362.png,C-1362.png,Train,Normal,0,0,Train,Train_Normal_C-1362.png
Dataset\Gambo\Train\Corrected\3_4691.png,3_4691.png,Train,Corrected,3,1,Train,Train_Corrected_3_4691.png
Dataset\Gambo\Train\Reversal\6_7672.png,6_7672.png,Train,Reversal,6,1,Train,Train_Reversal_6_7672.png
Dataset\Gambo\Train\Normal\W-24.png,W-24.png,Train,Normal,0,0,Train,Train_Normal_W-24.png
Dataset\Gambo\Train\Reversal\6_17337.png,6_17337.png,Train,Reversal,6,1,Train,Train_Reversal_6_17337.png
Dataset\Gambo\Train\Corrected\5_4373.png,5_4373.png,Train,Corrected,5,1,Train,Train_Corrected_5_4373.png
Dataset\Gambo\Train\Corrected\1_20218.png,1_20218.png,Train,Corrected,1,1,Train,Train_Corrected_1_20218.png
Dataset\Gambo\Train\Corrected\1_30016.png,1_30016.png,Train,Corrected,1,1,Train,Train_Corrected_1_30016.png
Dataset\Gambo\Train\Corrected\1_26217.png,1_26217.png,Train,Corrected,1,1,Train,Train_Corrected_1_26217.png
Dataset\Gambo\Test\Normal\S-3115.png,S-3115.png,Train,Normal,0,0,Test,Test_Normal_S-3115.png
Dataset\Gambo\Train\Corrected\5_3106.png,5_3106.png,Train,Corrected,5,1,Train,Train_Corrected_5_3106.png
Dataset\Gambo\Train\Corrected\4_1450.png,4_1450.png,Train,Corrected,4,1,Train,Train_Corrected_4_1450.png
Dataset\Gambo\Train\Corrected\1_23237.png,1_23237.png,Train,Corrected,1,1,Train,Train_Corrected_1_23237.png
Dataset\Gambo\Train\Corrected\1_26013.png,1_26013.png,Train,Corrected,1,1,Train,Train_Corrected_1_26013.png
Dataset\Gambo\Train\Corrected\4_384.png,4_384.png,Train,Corrected,4,1,Train,Train_Corrected_4_384.png
Dataset\Gambo\Train\Corrected\1_3734.png,1_3734.png,Train,Corrected,1,1,Train,Train_Corrected_1_3734.png
Dataset\Gambo\Train\Reversal\6_27020.png,6_27020.png,Train,Reversal,6,1,Train,Train_Reversal_6_27020.png
Dataset\Gambo\Test\Normal\N-475.png,N-475.png,Train,Normal,0,0,Test,Test_Normal_N-475.png
Dataset\Gambo\Test\Normal\C-251.png,C-251.png,Train,Normal,0,0,Test,Test_Normal_C-251.png
Dataset\Gambo\Test\Normal\B-261.png,B-261.png,Train,Normal,0,0,Test,Test_Normal_B-261.png
Dataset\Gambo\Test\Corrected\1_3915.png,1_3915.png,Train,Corrected,1,1,Test,Test_Corrected_1_3915.png
Dataset\Gambo\Train\Corrected\5_153.png,5_153.png,Train,Corrected,5,1,Train,Train_Corrected_5_153.png
Dataset\Gambo\Train\Reversal\6_23249.png,6_23249.png,Train,Reversal,6,1,Train,Train_Reversal_6_23249.png
Dataset\Gambo\Train\Normal\U-890.png,U-890.png,Train,Normal,0,0,Train,Train_Normal_U-890.png
Dataset\Gambo\Test\Reversal\6_594.png,6_594.png,Train,Reversal,6,1,Test,Test_Reversal_6_594.png
Dataset\Gambo\Train\Normal\C-2071.png,C-2071.png,Train,Normal,0,0,Train,Train_Normal_C-2071.png
Dataset\Gambo\Train\Reversal\6_11899.png,6_11899.png,Train,Reversal,6,1,Train,Train_Reversal_6_11899.png
Dataset\Gambo\Test\Normal\N-143.png,N-143.png,Train,Normal,0,0,Test,Test_Normal_N-143.png
Dataset\Gambo\Train\Corrected\4_5277.png,4_5277.png,Train,Corrected,4,1,Train,Train_Corrected_4_5277.png
Dataset\Gambo\Train\Corrected\2_1896.png,2_1896.png,Train,Corrected,2,1,Train,Train_Corrected_2_1896.png
Dataset\Gambo\Train\Corrected\1_3472.png,1_3472.png,Train,Corrected,1,1,Train,Train_Corrected_1_3472.png
Dataset\Gambo\Train\Corrected\1_31411.png,1_31411.png,Train,Corrected,1,1,Train,Train_Corrected_1_31411.png
Dataset\Gambo\Train\Normal\K-1000.png,K-1000.png,Train,Normal,0,0,Train,Train_Normal_K-1000.png
Dataset\Gambo\Train\Corrected\2_4221.png,2_4221.png,Train,Corrected,2,1,Train,Train_Corrected_2_4221.png
Dataset\Gambo\Train\Corrected\1_26808.png,1_26808.png,Train,Corrected,1,1,Train,Train_Corrected_1_26808.png
Dataset\Gambo\Train\Reversal\6_7275.png,6_7275.png,Train,Reversal,6,1,Train,Train_Reversal_6_7275.png
Dataset\Gambo\Train\Reversal\6_26221.png,6_26221.png,Train,Reversal,6,1,Train,Train_Reversal_6_26221.png
Dataset\Gambo\Train\Normal\M-2416.png,M-2416.png,Train,Normal,0,0,Train,Train_Normal_M-2416.png
Dataset\Gambo\Train\Corrected\1_33949.png,1_33949.png,Train,Corrected,1,1,Train,Train_Corrected_1_33949.png
Dataset\Gambo\Train\Corrected\6_2735.png,6_2735.png,Train,Corrected,6,1,Train,Train_Corrected_6_2735.png
Dataset\Gambo\Train\Corrected\2_3940.png,2_3940.png,Train,Corrected,2,1,Train,Train_Corrected_2_3940.png
Dataset\Gambo\Train\Reversal\6_14738.png,6_14738.png,Train,Reversal,6,1,Train,Train_Reversal_6_14738.png
Dataset\Gambo\Train\Corrected\6_4718.png,6_4718.png,Train,Corrected,6,1,Train,Train_Corrected_6_4718.png
Dataset\Gambo\Train\Normal\F-331.png,F-331.png,Train,Normal,0,0,Train,Train_Normal_F-331.png
Dataset\Gambo\Test\Normal\M-22.png,M-22.png,Train,Normal,0,0,Test,Test_Normal_M-22.png
Dataset\Gambo\Train\Reversal\6_8412.png,6_8412.png,Train,Reversal,6,1,Train,Train_Reversal_6_8412.png
Dataset\Gambo\Train\Normal\E-1711.png,E-1711.png,Train,Normal,0,0,Train,Train_Normal_E-1711.png
Dataset\Gambo\Test\Normal\F-136.png,F-136.png,Train,Normal,0,0,Test,Test_Normal_F-136.png
Dataset\Gambo\Train\Corrected\5_2101.png,5_2101.png,Train,Corrected,5,1,Train,Train_Corrected_5_2101.png
Dataset\Gambo\Train\Reversal\6_31316.png,6_31316.png,Train,Reversal,6,1,Train,Train_Reversal_6_31316.png
Dataset\Gambo\Train\Normal\M-645.png,M-645.png,Train,Normal,0,0,Train,Train_Normal_M-645.png
Dataset\Gambo\Train\Reversal\6_2501.png,6_2501.png,Train,Reversal,6,1,Train,Train_Reversal_6_2501.png
Dataset\Gambo\Train\Reversal\6_6418.png,6_6418.png,Train,Reversal,6,1,Train,Train_Reversal_6_6418.png
Dataset\Gambo\Train\Corrected\1_33391.png,1_33391.png,Train,Corrected,1,1,Train,Train_Corrected_1_33391.png
Dataset\Gambo\Train\Reversal\6_19157.png,6_19157.png,Train,Reversal,6,1,Train,Train_Reversal_6_19157.png
Dataset\Gambo\Train\Corrected\3_1268.png,3_1268.png,Train,Corrected,3,1,Train,Train_Corrected_3_1268.png
Dataset\Gambo\Train\Corrected\5_5590.png,5_5590.png,Train,Corrected,5,1,Train,Train_Corrected_5_5590.png
Dataset\Gambo\Train\Corrected\1_14987.png,1_14987.png,Train,Corrected,1,1,Train,Train_Corrected_1_14987.png
Dataset\Gambo\Test\Normal\B-466.png,B-466.png,Train,Normal,0,0,Test,Test_Normal_B-466.png
Dataset\Gambo\Train\Corrected\1_22263.png,1_22263.png,Train,Corrected,1,1,Train,Train_Corrected_1_22263.png
Dataset\Gambo\Train\Reversal\6_30686.png,6_30686.png,Train,Reversal,6,1,Train,Train_Reversal_6_30686.png
Dataset\Gambo\Train\Reversal\6_21187.png,6_21187.png,Train,Reversal,6,1,Train,Train_Reversal_6_21187.png
Dataset\Gambo\Train\Corrected\1_29510.png,1_29510.png,Train,Corrected,1,1,Train,Train_Corrected_1_29510.png
Dataset\Gambo\Train\Normal\J-1068.png,J-1068.png,Train,Normal,0,0,Train,Train_Normal_J-1068.png
Dataset\Gambo\Train\Corrected\1_18674.png,1_18674.png,Train,Corrected,1,1,Train,Train_Corrected_1_18674.png
Dataset\Gambo\Train\Normal\N-2186.png,N-2186.png,Train,Normal,0,0,Train,Train_Normal_N-2186.png
Dataset\Gambo\Train\Corrected\2_6224.png,2_6224.png,Train,Corrected,2,1,Train,Train_Corrected_2_6224.png
Dataset\Gambo\Test\Reversal\6_1888.png,6_1888.png,Train,Reversal,6,1,Test,Test_Reversal_6_1888.png
Dataset\Gambo\Train\Reversal\6_26581.png,6_26581.png,Train,Reversal,6,1,Train,Train_Reversal_6_26581.png
Dataset\Gambo\Test\Reversal\6_4640.png,6_4640.png,Train,Reversal,6,1,Test,Test_Reversal_6_4640.png
Dataset\Gambo\Train\Corrected\4_5480.png,4_5480.png,Train,Corrected,4,1,Train,Train_Corrected_4_5480.png
Dataset\Gambo\Train\Corrected\1_18812.png,1_18812.png,Train,Corrected,1,1,Train,Train_Corrected_1_18812.png
Dataset\Gambo\Train\Corrected\2_148.png,2_148.png,Train,Corrected,2,1,Train,Train_Corrected_2_148.png
Dataset\Gambo\Test\Normal\U-215.png,U-215.png,Train,Normal,0,0,Test,Test_Normal_U-215.png
Dataset\Gambo\Test\Corrected\1_8279.png,1_8279.png,Train,Corrected,1,1,Test,Test_Corrected_1_8279.png
Dataset\Gambo\Train\Corrected\1_13424.png,1_13424.png,Train,Corrected,1,1,Train,Train_Corrected_1_13424.png
Dataset\Gambo\Train\Reversal\6_25773.png,6_25773.png,Train,Reversal,6,1,Train,Train_Reversal_6_25773.png
Dataset\Gambo\Train\Corrected\3_1066.png,3_1066.png,Train,Corrected,3,1,Train,Train_Corrected_3_1066.png
Dataset\Gambo\Train\Corrected\5_1620.png,5_1620.png,Train,Corrected,5,1,Train,Train_Corrected_5_1620.png
Dataset\Gambo\Train\Corrected\1_35160.png,1_35160.png,Train,Corrected,1,1,Train,Train_Corrected_1_35160.png
Dataset\Gambo\Train\Normal\J-2338.png,J-2338.png,Train,Normal,0,0,Train,Train_Normal_J-2338.png
Dataset\Gambo\Train\Normal\J-2279.png,J-2279.png,Train,Normal,0,0,Train,Train_Normal_J-2279.png
Dataset\Gambo\Train\Corrected\1_36768.png,1_36768.png,Train,Corrected,1,1,Train,Train_Corrected_1_36768.png
Dataset\Gambo\Train\Corrected\5_2681.png,5_2681.png,Train,Corrected,5,1,Train,Train_Corrected_5_2681.png
Dataset\Gambo\Test\Reversal\6_6367.png,6_6367.png,Train,Reversal,6,1,Test,Test_Reversal_6_6367.png
Dataset\Gambo\Train\Corrected\1_10912.png,1_10912.png,Train,Corrected,1,1,Train,Train_Corrected_1_10912.png
Dataset\Gambo\Train\Corrected\1_20349.png,1_20349.png,Train,Corrected,1,1,Train,Train_Corrected_1_20349.png
Dataset\Gambo\Train\Normal\C-1077.png,C-1077.png,Train,Normal,0,0,Train,Train_Normal_C-1077.png
Dataset\Gambo\Train\Corrected\6_4750.png,6_4750.png,Train,Corrected,6,1,Train,Train_Corrected_6_4750.png
Dataset\Gambo\Train\Reversal\6_25507.png,6_25507.png,Train,Reversal,6,1,Train,Train_Reversal_6_25507.png
Dataset\Gambo\Train\Corrected\6_1918.png,6_1918.png,Train,Corrected,6,1,Train,Train_Corrected_6_1918.png
Dataset\Gambo\Train\Reversal\6_14970.png,6_14970.png,Train,Reversal,6,1,Train,Train_Reversal_6_14970.png
Dataset\Gambo\Train\Corrected\3_2788.png,3_2788.png,Train,Corrected,3,1,Train,Train_Corrected_3_2788.png
Dataset\Gambo\Train\Reversal\6_10155.png,6_10155.png,Train,Reversal,6,1,Train,Train_Reversal_6_10155.png
Dataset\Gambo\Train\Corrected\1_3210.png,1_3210.png,Train,Corrected,1,1,Train,Train_Corrected_1_3210.png
Dataset\Gambo\Test\Corrected\1_3552.png,1_3552.png,Train,Corrected,1,1,Test,Test_Corrected_1_3552.png
Dataset\Gambo\Train\Reversal\6_26253.png,6_26253.png,Train,Reversal,6,1,Train,Train_Reversal_6_26253.png
Dataset\Gambo\Train\Reversal\6_27534.png,6_27534.png,Train,Reversal,6,1,Train,Train_Reversal_6_27534.png
Dataset\Gambo\Train\Normal\A-1137.png,A-1137.png,Train,Normal,0,0,Train,Train_Normal_A-1137.png
Dataset\Gambo\Test\Normal\W-297.png,W-297.png,Train,Normal,0,0,Test,Test_Normal_W-297.png
Dataset\Gambo\Train\Corrected\2_626.png,2_626.png,Train,Corrected,2,1,Train,Train_Corrected_2_626.png
Dataset\Gambo\Test\Corrected\1_7898.png,1_7898.png,Train,Corrected,1,1,Test,Test_Corrected_1_7898.png
Dataset\Gambo\Train\Normal\E-888.png,E-888.png,Train,Normal,0,0,Train,Train_Normal_E-888.png
Dataset\Gambo\Train\Normal\F-323.png,F-323.png,Train,Normal,0,0,Train,Train_Normal_F-323.png
Dataset\Gambo\Test\Corrected\1_8437.png,1_8437.png,Train,Corrected,1,1,Test,Test_Corrected_1_8437.png
Dataset\Gambo\Test\Normal\C-157.png,C-157.png,Train,Normal,0,0,Test,Test_Normal_C-157.png
Dataset\Gambo\Train\Corrected\1_13205.png,1_13205.png,Train,Corrected,1,1,Train,Train_Corrected_1_13205.png
Dataset\Gambo\Train\Corrected\1_18789.png,1_18789.png,Train,Corrected,1,1,Train,Train_Corrected_1_18789.png
Dataset\Gambo\Test\Normal\F-47.png,F-47.png,Train,Normal,0,0,Test,Test_Normal_F-47.png
Dataset\Gambo\Train\Normal\V-37.png,V-37.png,Train,Normal,0,0,Train,Train_Normal_V-37.png
Dataset\Gambo\Train\Normal\K-962.png,K-962.png,Train,Normal,0,0,Train,Train_Normal_K-962.png
Dataset\Gambo\Train\Reversal\6_8467.png,6_8467.png,Train,Reversal,6,1,Train,Train_Reversal_6_8467.png
Dataset\Gambo\Train\Corrected\1_13709.png,1_13709.png,Train,Corrected,1,1,Train,Train_Corrected_1_13709.png
Dataset\Gambo\Train\Corrected\1_12352.png,1_12352.png,Train,Corrected,1,1,Train,Train_Corrected_1_12352.png
Dataset\Gambo\Test\Corrected\4_719.png,4_719.png,Train,Corrected,4,1,Test,Test_Corrected_4_719.png
Dataset\Gambo\Train\Reversal\6_22152.png,6_22152.png,Train,Reversal,6,1,Train,Train_Reversal_6_22152.png
Dataset\Gambo\Train\Corrected\2_4784.png,2_4784.png,Train,Corrected,2,1,Train,Train_Corrected_2_4784.png
Dataset\Gambo\Train\Corrected\5_4294.png,5_4294.png,Train,Corrected,5,1,Train,Train_Corrected_5_4294.png
Dataset\Gambo\Train\Normal\E-1454.png,E-1454.png,Train,Normal,0,0,Train,Train_Normal_E-1454.png
Dataset\Gambo\Train\Corrected\1_19278.png,1_19278.png,Train,Corrected,1,1,Train,Train_Corrected_1_19278.png
Dataset\Gambo\Test\Corrected\5_1539.png,5_1539.png,Train,Corrected,5,1,Test,Test_Corrected_5_1539.png
Dataset\Gambo\Test\Normal\N-435.png,N-435.png,Train,Normal,0,0,Test,Test_Normal_N-435.png
Dataset\Gambo\Test\Corrected\4_806.png,4_806.png,Train,Corrected,4,1,Test,Test_Corrected_4_806.png
Dataset\Gambo\Train\Corrected\1_29002.png,1_29002.png,Train,Corrected,1,1,Train,Train_Corrected_1_29002.png
Dataset\Gambo\Train\Reversal\6_30760.png,6_30760.png,Train,Reversal,6,1,Train,Train_Reversal_6_30760.png
Dataset\Gambo\Train\Reversal\6_20575.png,6_20575.png,Train,Reversal,6,1,Train,Train_Reversal_6_20575.png
Dataset\Gambo\Train\Corrected\1_32510.png,1_32510.png,Train,Corrected,1,1,Train,Train_Corrected_1_32510.png
Dataset\Gambo\Train\Reversal\6_6524.png,6_6524.png,Train,Reversal,6,1,Train,Train_Reversal_6_6524.png
Dataset\Gambo\Train\Corrected\5_2397.png,5_2397.png,Train,Corrected,5,1,Train,Train_Corrected_5_2397.png
Dataset\Gambo\Train\Reversal\6_23904.png,6_23904.png,Train,Reversal,6,1,Train,Train_Reversal_6_23904.png
Dataset\Gambo\Train\Corrected\2_428.png,2_428.png,Train,Corrected,2,1,Train,Train_Corrected_2_428.png
Dataset\Gambo\Train\Corrected\2_3905.png,2_3905.png,Train,Corrected,2,1,Train,Train_Corrected_2_3905.png
Dataset\Gambo\Test\Corrected\5_641.png,5_641.png,Train,Corrected,5,1,Test,Test_Corrected_5_641.png
Dataset\Gambo\Train\Corrected\1_18796.png,1_18796.png,Train,Corrected,1,1,Train,Train_Corrected_1_18796.png
Dataset\Gambo\Train\Corrected\6_4286.png,6_4286.png,Train,Corrected,6,1,Train,Train_Corrected_6_4286.png
Dataset\Gambo\Train\Reversal\6_8246.png,6_8246.png,Train,Reversal,6,1,Train,Train_Reversal_6_8246.png
Dataset\Gambo\Train\Corrected\1_11848.png,1_11848.png,Train,Corrected,1,1,Train,Train_Corrected_1_11848.png
Dataset\Gambo\Test\Corrected\1_7730.png,1_7730.png,Train,Corrected,1,1,Test,Test_Corrected_1_7730.png
Dataset\Gambo\Train\Reversal\6_23621.png,6_23621.png,Train,Reversal,6,1,Train,Train_Reversal_6_23621.png
Dataset\Gambo\Train\Normal\H-1039.png,H-1039.png,Train,Normal,0,0,Train,Train_Normal_H-1039.png
Dataset\Gambo\Train\Reversal\6_3300.png,6_3300.png,Train,Reversal,6,1,Train,Train_Reversal_6_3300.png
Dataset\Gambo\Test\Corrected\2_314.png,2_314.png,Train,Corrected,2,1,Test,Test_Corrected_2_314.png
Dataset\Gambo\Train\Corrected\1_32714.png,1_32714.png,Train,Corrected,1,1,Train,Train_Corrected_1_32714.png
Dataset\Gambo\Train\Corrected\6_4430.png,6_4430.png,Train,Corrected,6,1,Train,Train_Corrected_6_4430.png
Dataset\Gambo\Test\Corrected\1_605.png,1_605.png,Train,Corrected,1,1,Test,Test_Corrected_1_605.png
Dataset\Gambo\Train\Reversal\6_2937.png,6_2937.png,Train,Reversal,6,1,Train,Train_Reversal_6_2937.png
Dataset\Gambo\Train\Normal\A-745.png,A-745.png,Train,Normal,0,0,Train,Train_Normal_A-745.png
Dataset\Gambo\Train\Normal\C-1979.png,C-1979.png,Train,Normal,0,0,Train,Train_Normal_C-1979.png
Dataset\Gambo\Train\Corrected\1_11559.png,1_11559.png,Train,Corrected,1,1,Train,Train_Corrected_1_11559.png
Dataset\Gambo\Train\Normal\K-2296.png,K-2296.png,Train,Normal,0,0,Train,Train_Normal_K-2296.png
Dataset\Gambo\Train\Normal\K-1390.png,K-1390.png,Train,Normal,0,0,Train,Train_Normal_K-1390.png
Dataset\Gambo\Train\Normal\J-2596.png,J-2596.png,Train,Normal,0,0,Train,Train_Normal_J-2596.png
Dataset\Gambo\Test\Normal\K-261.png,K-261.png,Train,Normal,0,0,Test,Test_Normal_K-261.png
Dataset\Gambo\Train\Corrected\1_23459.png,1_23459.png,Train,Corrected,1,1,Train,Train_Corrected_1_23459.png
Dataset\Gambo\Train\Normal\E-2324.png,E-2324.png,Train,Normal,0,0,Train,Train_Normal_E-2324.png
Dataset\Gambo\Test\Reversal\6_3034.png,6_3034.png,Train,Reversal,6,1,Test,Test_Reversal_6_3034.png
Dataset\Gambo\Train\Normal\J-2967.png,J-2967.png,Train,Normal,0,0,Train,Train_Normal_J-2967.png
Dataset\Gambo\Train\Reversal\6_8690.png,6_8690.png,Train,Reversal,6,1,Train,Train_Reversal_6_8690.png
