image_path,file_name,split,folder_category,severity_score,target_class,ink_density,center_of_mass_x,center_of_mass_y,bounding_box_ratio,stroke_transitions
Dataset\Gambo\Train\Corrected\5_4928.png,5_4928.png,Train,Corrected,5,1,0.114796,15.2,13.1222,1.0,2.2857
Dataset\Gambo\Train\Corrected\2_6189.png,2_6189.png,Train,Corrected,2,1,0.096939,14.2105,12.0263,1.2143,2.1429
Dataset\Gambo\Train\Corrected\4_2319.png,4_2319.png,Train,Corrected,4,1,0.133929,13.019,12.3619,0.9474,1.7143
Dataset\Gambo\Train\Corrected\4_118.png,4_118.png,Train,Corrected,4,1,0.149235,13.265,12.4444,1.1176,1.5714
Dataset\Gambo\Train\Normal\B-1631.png,B-1631.png,Train,Normal,0,0,0.130102,14.5392,13.5,0.9,2.2857
Dataset\Gambo\Train\Reversal\6_17265.png,6_17265.png,Train,Reversal,6,1,0.119898,14.5213,12.9574,1.0556,1.7857
Dataset\Gambo\Train\Corrected\1_15077.png,1_15077.png,Train,Corrected,1,1,0.151786,13.4118,12.3866,1.0,2.7143
Dataset\Gambo\Train\Corrected\2_5009.png,2_5009.png,Train,Corrected,2,1,0.204082,13.3812,12.8875,0.9444,2.1429
Dataset\Gambo\Train\Corrected\1_16499.png,1_16499.png,Train,Corrected,1,1,0.128827,12.9703,13.3663,0.7895,1.7857
Dataset\Gambo\Train\Reversal\6_30067.png,6_30067.png,Train,Reversal,6,1,0.205357,12.2422,13.7453,1.0526,2.5
Dataset\Gambo\Train\Corrected\5_2887.png,5_2887.png,Train,Corrected,5,1,0.089286,13.0143,12.5,0.5263,0.7857
Dataset\Gambo\Train\Corrected\5_4759.png,5_4759.png,Train,Corrected,5,1,0.103316,13.1852,13.7531,1.5385,2.4286
Dataset\Gambo\Train\Corrected\5_635.png,5_635.png,Train,Corrected,5,1,0.118622,11.4301,11.1183,1.25,1.9286
Dataset\Gambo\Train\Normal\G-1981.png,G-1981.png,Train,Normal,0,0,0.095663,11.0933,13.9333,0.8421,1.8571
Dataset\Gambo\Train\Corrected\1_27332.png,1_27332.png,Train,Corrected,1,1,0.114796,13.1556,13.3222,1.5833,2.0714
Dataset\Gambo\Train\Normal\J-1561.png,J-1561.png,Train,Normal,0,0,0.075255,12.8475,12.7797,0.6,1.1429
Dataset\Gambo\Train\Corrected\4_1080.png,4_1080.png,Train,Corrected,4,1,0.047194,12.5135,13.4865,0.8125,1.5714
Dataset\Gambo\Train\Corrected\3_1718.png,3_1718.png,Train,Corrected,3,1,0.205357,11.5528,14.1988,0.9565,4.5
Dataset\Gambo\Train\Corrected\1_34096.png,1_34096.png,Train,Corrected,1,1,0.190051,12.7181,11.8188,1.0526,2.7143
Dataset\Gambo\Train\Normal\K-1134.png,K-1134.png,Train,Normal,0,0,0.170918,10.6343,13.5672,1.0,2.3571
Dataset\Gambo\Train\Reversal\6_23905.png,6_23905.png,Train,Reversal,6,1,0.121173,14.4737,13.2632,0.7895,1.6429
Dataset\Gambo\Train\Reversal\6_30400.png,6_30400.png,Train,Reversal,6,1,0.118622,12.7957,12.7527,1.1765,2.6429
Dataset\Gambo\Train\Reversal\6_29440.png,6_29440.png,Train,Reversal,6,1,0.130102,13.4804,13.3039,1.2667,1.8571
Dataset\Gambo\Train\Corrected\6_4278.png,6_4278.png,Train,Corrected,6,1,0.140306,14.3909,13.0273,0.9,2.2857
Dataset\Gambo\Train\Corrected\3_402.png,3_402.png,Train,Corrected,3,1,0.109694,12.3953,11.9302,1.3077,1.6429
Dataset\Gambo\Train\Corrected\1_25588.png,1_25588.png,Train,Corrected,1,1,0.121173,9.8632,12.8632,0.9474,2.2857
Dataset\Gambo\Train\Normal\G-729.png,G-729.png,Train,Normal,0,0,0.100765,12.1392,13.6203,1.25,2.0
Dataset\Gambo\Train\Normal\C-1373.png,C-1373.png,Train,Normal,0,0,0.146684,11.6957,14.1565,0.7,1.3571
Dataset\Gambo\Train\Corrected\3_4998.png,3_4998.png,Train,Corrected,3,1,0.178571,13.6,12.4571,1.0,2.5
Dataset\Gambo\Train\Reversal\6_6726.png,6_6726.png,Train,Reversal,6,1,0.182398,14.7622,13.0699,1.0,1.4286
Dataset\Gambo\Train\Corrected\5_4872.png,5_4872.png,Train,Corrected,5,1,0.163265,13.5156,12.4453,1.4615,2.2857
Dataset\Gambo\Train\Corrected\1_25070.png,1_25070.png,Train,Corrected,1,1,0.093112,12.0137,12.589,1.7273,2.5714
Dataset\Gambo\Train\Corrected\5_2.png,5_2.png,Train,Corrected,5,1,0.125,10.9286,13.1327,0.85,2.2857
Dataset\Gambo\Train\Normal\C-1007.png,C-1007.png,Train,Normal,0,0,0.17602,11.6159,14.3841,0.9,1.4286
Dataset\Gambo\Train\Normal\C-669.png,C-669.png,Train,Normal,0,0,0.169643,12.782,13.3684,1.0,1.7857
Dataset\Gambo\Train\Corrected\3_878.png,3_878.png,Train,Corrected,3,1,0.123724,12.4845,12.268,0.7895,1.7143
Dataset\Gambo\Train\Corrected\1_34024.png,1_34024.png,Train,Corrected,1,1,0.139031,13.5596,13.6239,0.8947,2.0714
Dataset\Gambo\Train\Corrected\4_5639.png,4_5639.png,Train,Corrected,4,1,0.122449,13.3021,13.4062,1.4615,2.4286
Dataset\Gambo\Train\Corrected\6_2210.png,6_2210.png,Train,Corrected,6,1,0.082908,13.4,13.7385,0.9,2.0
Dataset\Gambo\Train\Corrected\4_2062.png,4_2062.png,Train,Corrected,4,1,0.065051,12.2157,13.3137,0.4737,1.7143
Dataset\Gambo\Train\Reversal\6_6422.png,6_6422.png,Train,Reversal,6,1,0.139031,14.5413,15.8532,0.8261,2.0
Dataset\Gambo\Train\Reversal\6_13385.png,6_13385.png,Train,Reversal,6,1,0.17602,11.8478,13.5725,1.1579,2.3571
Dataset\Gambo\Train\Corrected\1_11114.png,1_11114.png,Train,Corrected,1,1,0.086735,13.3824,13.0294,0.7647,1.5
Dataset\Gambo\Train\Corrected\4_867.png,4_867.png,Train,Corrected,4,1,0.091837,12.8889,12.9306,1.3846,2.7143
Dataset\Gambo\Train\Corrected\1_31863.png,1_31863.png,Train,Corrected,1,1,0.108418,11.8588,11.7647,0.9474,2.2143
Dataset\Gambo\Train\Corrected\2_3621.png,2_3621.png,Train,Corrected,2,1,0.146684,12.2783,13.2174,1.0,2.4286
Dataset\Gambo\Train\Reversal\6_20241.png,6_20241.png,Train,Reversal,6,1,0.142857,13.9554,15.9732,0.8421,1.3571
Dataset\Gambo\Train\Corrected\5_145.png,5_145.png,Train,Corrected,5,1,0.170918,13.0448,12.9179,0.8889,1.5714
Dataset\Gambo\Train\Corrected\1_1137.png,1_1137.png,Train,Corrected,1,1,0.200255,14.3439,11.586,1.0,2.2857
Dataset\Gambo\Train\Reversal\6_17447.png,6_17447.png,Train,Reversal,6,1,0.109694,13.4767,11.7093,0.9474,1.3571
Dataset\Gambo\Train\Corrected\1_34977.png,1_34977.png,Train,Corrected,1,1,0.15051,11.4831,13.7542,1.2667,2.5714
Dataset\Gambo\Train\Normal\B-1891.png,B-1891.png,Train,Normal,0,0,0.219388,11.9477,12.4186,1.0,2.5714
Dataset\Gambo\Train\Corrected\1_19798.png,1_19798.png,Train,Corrected,1,1,0.146684,12.7478,13.0435,0.9444,2.7143
Dataset\Gambo\Train\Corrected\4_5025.png,4_5025.png,Train,Corrected,4,1,0.094388,12.5811,13.6757,2.25,2.0
Dataset\Gambo\Train\Normal\F-1087.png,F-1087.png,Train,Normal,0,0,0.121173,10.9684,10.6316,1.0,1.5
Dataset\Gambo\Train\Reversal\6_12446.png,6_12446.png,Train,Reversal,6,1,0.209184,13.7256,14.1402,1.0,2.1429
Dataset\Gambo\Train\Normal\C-1111.png,C-1111.png,Train,Normal,0,0,0.110969,11.9425,15.023,1.0,1.6429
Dataset\Gambo\Train\Corrected\4_3600.png,4_3600.png,Train,Corrected,4,1,0.172194,13.437,11.9704,1.0556,2.2857
Dataset\Gambo\Train\Corrected\3_4551.png,3_4551.png,Train,Corrected,3,1,0.112245,11.9318,13.6818,0.8235,1.8571
Dataset\Gambo\Train\Reversal\6_18013.png,6_18013.png,Train,Reversal,6,1,0.08801,12.3768,13.6522,0.9444,1.6429
Dataset\Gambo\Train\Corrected\4_5787.png,4_5787.png,Train,Corrected,4,1,0.177296,14.036,12.554,1.125,2.4286
Dataset\Gambo\Train\Corrected\1_4600.png,1_4600.png,Train,Corrected,1,1,0.22449,11.9773,12.8523,0.9,1.9286
Dataset\Gambo\Train\Corrected\6_6133.png,6_6133.png,Train,Corrected,6,1,0.182398,13.007,12.3147,0.8947,2.0
Dataset\Gambo\Train\Corrected\3_3518.png,3_3518.png,Train,Corrected,3,1,0.127551,12.66,12.85,0.8421,2.2143
Dataset\Gambo\Train\Corrected\6_1019.png,6_1019.png,Train,Corrected,6,1,0.080357,11.5079,11.9206,1.7273,2.0
Dataset\Gambo\Train\Corrected\5_2464.png,5_2464.png,Train,Corrected,5,1,0.135204,10.8585,13.7642,1.0526,2.9286
Dataset\Gambo\Train\Corrected\5_4604.png,5_4604.png,Train,Corrected,5,1,0.154337,14.3636,12.1901,0.8947,2.0714
Dataset\Gambo\Train\Reversal\6_30834.png,6_30834.png,Train,Reversal,6,1,0.123724,13.6082,13.6289,1.7273,2.3571
Dataset\Gambo\Train\Corrected\1_32936.png,1_32936.png,Train,Corrected,1,1,0.146684,13.7565,13.2,1.0,2.6429
Dataset\Gambo\Train\Normal\K-1838.png,K-1838.png,Train,Normal,0,0,0.135204,10.5755,14.8396,1.1111,2.2143
Dataset\Gambo\Train\Normal\A-2352.png,A-2352.png,Train,Normal,0,0,0.123724,13.9691,13.6392,1.4286,2.2143
Dataset\Gambo\Train\Normal\C-1180.png,C-1180.png,Train,Normal,0,0,0.234694,13.3696,14.4565,1.0,1.9286
Dataset\Gambo\Train\Corrected\1_4704.png,1_4704.png,Train,Corrected,1,1,0.109694,13.8953,14.093,1.3571,2.4286
Dataset\Gambo\Train\Corrected\6_2.png,6_2.png,Train,Corrected,6,1,0.123724,10.8247,12.7835,0.9474,2.2857
Dataset\Gambo\Train\Corrected\1_12761.png,1_12761.png,Train,Corrected,1,1,0.110969,13.3448,11.5057,0.9444,1.8571
Dataset\Gambo\Train\Corrected\1_21272.png,1_21272.png,Train,Corrected,1,1,0.133929,14.3714,12.9143,0.8333,2.0714
Dataset\Gambo\Train\Corrected\1_17229.png,1_17229.png,Train,Corrected,1,1,0.172194,11.8,13.1852,0.8333,2.8571
Dataset\Gambo\Train\Corrected\5_5695.png,5_5695.png,Train,Corrected,5,1,0.133929,14.0667,12.381,1.25,2.5
Dataset\Gambo\Train\Normal\H-541.png,H-541.png,Train,Normal,0,0,0.165816,14.0846,13.8154,1.1111,2.5714
Dataset\Gambo\Train\Corrected\6_1701.png,6_1701.png,Train,Corrected,6,1,0.132653,15.1731,14.2308,1.0,2.4286
Dataset\Gambo\Train\Reversal\6_5833.png,6_5833.png,Train,Reversal,6,1,0.173469,11.3088,11.6985,1.1579,2.2857
Dataset\Gambo\Train\Corrected\3_6355.png,3_6355.png,Train,Corrected,3,1,0.140306,14.0636,12.8273,1.0588,2.1429
Dataset\Gambo\Train\Corrected\1_13220.png,1_13220.png,Train,Corrected,1,1,0.146684,11.487,13.0435,0.8947,2.2143
Dataset\Gambo\Train\Corrected\6_2440.png,6_2440.png,Train,Corrected,6,1,0.121173,13.2316,14.2421,0.6316,1.4286
Dataset\Gambo\Train\Corrected\3_5503.png,3_5503.png,Train,Corrected,3,1,0.156888,14.374,13.0244,0.9474,2.2857
Dataset\Gambo\Train\Corrected\1_35672.png,1_35672.png,Train,Corrected,1,1,0.130102,12.902,13.9902,1.4615,2.0
Dataset\Gambo\Train\Corrected\1_34160.png,1_34160.png,Train,Corrected,1,1,0.160714,13.3175,12.9365,0.8947,2.0714
Dataset\Gambo\Train\Reversal\6_8727.png,6_8727.png,Train,Reversal,6,1,0.193878,14.1316,14.2632,0.9048,2.0
Dataset\Gambo\Train\Corrected\1_25309.png,1_25309.png,Train,Corrected,1,1,0.119898,12.1064,11.0426,1.2667,2.0714
Dataset\Gambo\Train\Corrected\5_5808.png,5_5808.png,Train,Corrected,5,1,0.193878,13.9211,13.1118,1.0556,2.1429
Dataset\Gambo\Train\Corrected\1_21511.png,1_21511.png,Train,Corrected,1,1,0.149235,13.0,12.6239,0.8333,1.8571
Dataset\Gambo\Train\Corrected\1_2530.png,1_2530.png,Train,Corrected,1,1,0.195153,12.5621,12.8693,1.0,2.7857
Dataset\Gambo\Train\Corrected\1_10338.png,1_10338.png,Train,Corrected,1,1,0.102041,11.9875,13.175,1.125,2.0714
Dataset\Gambo\Train\Corrected\1_32202.png,1_32202.png,Train,Corrected,1,1,0.196429,11.5584,14.0584,0.9,2.3571
Dataset\Gambo\Train\Corrected\6_5351.png,6_5351.png,Train,Corrected,6,1,0.096939,14.1053,13.0658,1.2667,2.4286
Dataset\Gambo\Train\Reversal\6_14103.png,6_14103.png,Train,Reversal,6,1,0.155612,12.5246,12.9918,1.3333,2.5714
Dataset\Gambo\Train\Corrected\1_10602.png,1_10602.png,Train,Corrected,1,1,0.079082,12.1613,12.2581,0.8889,2.2143
Dataset\Gambo\Train\Corrected\4_1075.png,4_1075.png,Train,Corrected,4,1,0.084184,12.9697,11.8182,1.4615,2.1429
Dataset\Gambo\Train\Normal\B-1406.png,B-1406.png,Train,Normal,0,0,0.164541,13.6899,13.3023,1.1111,2.5
Dataset\Gambo\Train\Corrected\5_5095.png,5_5095.png,Train,Corrected,5,1,0.178571,12.8,13.8714,1.2667,2.1429
Dataset\Gambo\Train\Reversal\6_31750.png,6_31750.png,Train,Reversal,6,1,0.168367,14.8333,16.1288,1.0476,2.4286
Dataset\Gambo\Train\Corrected\1_34833.png,1_34833.png,Train,Corrected,1,1,0.151786,13.8655,12.042,0.8947,2.2143
Dataset\Gambo\Train\Corrected\5_3819.png,5_3819.png,Train,Corrected,5,1,0.169643,13.5188,13.7895,1.4615,1.7857
Dataset\Gambo\Train\Corrected\5_2809.png,5_2809.png,Train,Corrected,5,1,0.130102,11.9608,13.902,0.9474,2.5
Dataset\Gambo\Train\Reversal\6_4365.png,6_4365.png,Train,Reversal,6,1,0.243622,13.2827,13.1257,1.1053,2.1429
Dataset\Gambo\Train\Corrected\1_2416.png,1_2416.png,Train,Corrected,1,1,0.159439,13.224,14.696,1.4286,1.6429
Dataset\Gambo\Train\Corrected\1_13036.png,1_13036.png,Train,Corrected,1,1,0.137755,14.1389,13.3981,0.7368,1.8571
Dataset\Gambo\Train\Corrected\1_33194.png,1_33194.png,Train,Corrected,1,1,0.112245,13.8523,12.3409,0.85,2.1429
Dataset\Gambo\Train\Reversal\6_25629.png,6_25629.png,Train,Reversal,6,1,0.159439,14.032,12.448,1.3571,1.5
Dataset\Gambo\Train\Corrected\1_38481.png,1_38481.png,Train,Corrected,1,1,0.142857,12.0446,14.0536,1.3333,2.5
Dataset\Gambo\Train\Reversal\6_21899.png,6_21899.png,Train,Reversal,6,1,0.131378,12.8155,16.2913,1.3333,1.4286
Dataset\Gambo\Train\Reversal\6_32037.png,6_32037.png,Train,Reversal,6,1,0.179847,13.1844,16.3191,1.1,2.4286
Dataset\Gambo\Train\Normal\N-2138.png,N-2138.png,Train,Normal,0,0,0.127551,12.63,14.89,0.9,2.0
Dataset\Gambo\Train\Normal\J-2351.png,J-2351.png,Train,Normal,0,0,0.144133,13.4513,13.1062,0.9474,1.5714
Dataset\Gambo\Train\Normal\L-2486.png,L-2486.png,Train,Normal,0,0,0.137755,12.5648,14.8704,1.6667,1.5
Dataset\Gambo\Train\Corrected\2_42.png,2_42.png,Train,Corrected,2,1,0.107143,11.9167,12.619,1.5455,2.4286
Dataset\Gambo\Train\Reversal\6_14769.png,6_14769.png,Train,Reversal,6,1,0.135204,13.2642,12.6509,1.3333,2.8571
Dataset\Gambo\Train\Normal\E-624.png,E-624.png,Train,Normal,0,0,0.147959,10.7241,12.7586,1.0,1.7143
Dataset\Gambo\Train\Corrected\3_2775.png,3_2775.png,Train,Corrected,3,1,0.141582,13.4144,12.6216,1.0,2.8571
Dataset\Gambo\Train\Reversal\6_6307.png,6_6307.png,Train,Reversal,6,1,0.144133,16.354,15.8584,1.2778,2.6429
Dataset\Gambo\Train\Normal\M-1108.png,M-1108.png,Train,Normal,0,0,0.158163,14.4758,13.629,1.0,3.9286
Dataset\Gambo\Train\Normal\E-2122.png,E-2122.png,Train,Normal,0,0,0.183673,10.9931,14.1181,1.0,1.4286
Dataset\Gambo\Train\Reversal\6_26120.png,6_26120.png,Train,Reversal,6,1,0.201531,14.8797,13.0759,1.1176,1.6429
Dataset\Gambo\Train\Corrected\6_1760.png,6_1760.png,Train,Corrected,6,1,0.119898,13.5,13.2553,0.7059,2.5
Dataset\Gambo\Train\Corrected\2_4558.png,2_4558.png,Train,Corrected,2,1,0.091837,13.4306,12.875,0.6842,1.7143
Dataset\Gambo\Train\Reversal\6_7239.png,6_7239.png,Train,Reversal,6,1,0.318878,13.22,12.34,1.2222,2.2857
Dataset\Gambo\Train\Corrected\1_15138.png,1_15138.png,Train,Corrected,1,1,0.082908,13.7231,13.6154,1.5,2.4286
Dataset\Gambo\Train\Corrected\1_15744.png,1_15744.png,Train,Corrected,1,1,0.132653,12.4904,12.8654,1.1176,2.9286
Dataset\Gambo\Train\Normal\C-1798.png,C-1798.png,Train,Normal,0,0,0.190051,11.7852,15.1074,1.0526,1.6429
Dataset\Gambo\Train\Corrected\1_2383.png,1_2383.png,Train,Corrected,1,1,0.127551,11.86,13.97,0.9,2.3571
Dataset\Gambo\Train\Normal\C-1998.png,C-1998.png,Train,Normal,0,0,0.167092,12.0076,14.3511,0.7,1.0714
Dataset\Gambo\Train\Reversal\6_18616.png,6_18616.png,Train,Reversal,6,1,0.079082,14.3387,13.7742,0.5263,1.5
Dataset\Gambo\Train\Corrected\6_4905.png,6_4905.png,Train,Corrected,6,1,0.160714,12.8651,12.1667,1.1176,2.5714
Dataset\Gambo\Train\Corrected\3_4226.png,3_4226.png,Train,Corrected,3,1,0.156888,14.0,13.4959,0.9474,2.1429
Dataset\Gambo\Train\Corrected\1_34649.png,1_34649.png,Train,Corrected,1,1,0.127551,12.79,13.83,1.4615,2.6429
Dataset\Gambo\Train\Reversal\6_15803.png,6_15803.png,Train,Reversal,6,1,0.227041,12.3202,14.236,1.0526,2.7857
Dataset\Gambo\Train\Reversal\6_4227.png,6_4227.png,Train,Reversal,6,1,0.252551,13.9394,13.6263,1.0,1.7143
Dataset\Gambo\Train\Normal\K-1875.png,K-1875.png,Train,Normal,0,0,0.178571,12.2857,14.0714,1.4286,2.2143
Dataset\Gambo\Train\Normal\A-1927.png,A-1927.png,Train,Normal,0,0,0.16199,15.8189,14.4646,1.1111,2.3571
Dataset\Gambo\Train\Corrected\1_30473.png,1_30473.png,Train,Corrected,1,1,0.252551,12.6465,12.6616,1.05,2.1429
Dataset\Gambo\Train\Normal\B-907.png,B-907.png,Train,Normal,0,0,0.140306,14.0727,13.8182,1.4286,2.7143
Dataset\Gambo\Train\Reversal\6_20234.png,6_20234.png,Train,Reversal,6,1,0.123724,14.9691,15.4021,1.5833,1.5
Dataset\Gambo\Train\Reversal\6_7486.png,6_7486.png,Train,Reversal,6,1,0.173469,16.5588,15.4559,1.0,1.9286
Dataset\Gambo\Train\Corrected\4_6252.png,4_6252.png,Train,Corrected,4,1,0.16199,12.6457,12.6693,1.0556,2.3571
Dataset\Gambo\Train\Reversal\6_15409.png,6_15409.png,Train,Reversal,6,1,0.142857,13.0714,13.2321,1.2667,2.6429
Dataset\Gambo\Train\Corrected\3_169.png,3_169.png,Train,Corrected,3,1,0.123724,10.4639,12.4845,0.9444,1.9286
Dataset\Gambo\Train\Reversal\6_29299.png,6_29299.png,Train,Reversal,6,1,0.140306,14.7182,14.2909,0.8421,2.0
Dataset\Gambo\Train\Reversal\6_19236.png,6_19236.png,Train,Reversal,6,1,0.146684,13.4174,13.8,1.3333,2.3571
Dataset\Gambo\Train\Normal\N-700.png,N-700.png,Train,Normal,0,0,0.17602,14.3333,14.8333,0.9,2.2857
Dataset\Gambo\Train\Corrected\6_2827.png,6_2827.png,Train,Corrected,6,1,0.149235,11.453,14.2222,0.8947,1.9286
Dataset\Gambo\Train\Corrected\2_5423.png,2_5423.png,Train,Corrected,2,1,0.098214,13.2987,13.1169,1.0625,2.3571
Dataset\Gambo\Train\Normal\B-1578.png,B-1578.png,Train,Normal,0,0,0.169643,11.3308,13.218,1.0,2.8571
Dataset\Gambo\Train\Corrected\1_10350.png,1_10350.png,Train,Corrected,1,1,0.085459,11.6866,12.1642,1.1333,1.7857
Dataset\Gambo\Train\Corrected\1_1090.png,1_1090.png,Train,Corrected,1,1,0.135204,13.0377,12.5,1.25,2.5714
Dataset\Gambo\Train\Corrected\1_23851.png,1_23851.png,Train,Corrected,1,1,0.1875,13.0612,13.4014,0.7368,2.2143
Dataset\Gambo\Train\Reversal\6_26652.png,6_26652.png,Train,Reversal,6,1,0.122449,13.3854,13.2188,1.1875,2.2143
Dataset\Gambo\Train\Corrected\2_5063.png,2_5063.png,Train,Corrected,2,1,0.126276,13.9899,12.5253,1.1333,2.0
Dataset\Gambo\Train\Reversal\6_14227.png,6_14227.png,Train,Reversal,6,1,0.159439,12.928,12.888,0.8421,1.8571
Dataset\Gambo\Train\Corrected\2_5275.png,2_5275.png,Train,Corrected,2,1,0.116071,13.7033,12.7033,0.6667,1.4286
Dataset\Gambo\Train\Reversal\6_21109.png,6_21109.png,Train,Reversal,6,1,0.123724,16.2887,13.2062,1.1765,2.0714
Dataset\Gambo\Train\Corrected\1_10097.png,1_10097.png,Train,Corrected,1,1,0.108418,12.4471,14.0235,1.2857,2.5
Dataset\Gambo\Train\Corrected\1_20539.png,1_20539.png,Train,Corrected,1,1,0.132653,15.0,13.2212,1.0,2.2857
Dataset\Gambo\Train\Reversal\6_21764.png,6_21764.png,Train,Reversal,6,1,0.181122,14.7606,13.8592,1.0556,2.2857
Dataset\Gambo\Train\Corrected\6_2786.png,6_2786.png,Train,Corrected,6,1,0.094388,12.7703,13.8378,1.9,2.7857
Dataset\Gambo\Train\Normal\H-659.png,H-659.png,Train,Normal,0,0,0.147959,14.1552,13.9397,1.0,2.6429
Dataset\Gambo\Train\Corrected\1_14779.png,1_14779.png,Train,Corrected,1,1,0.163265,13.7188,13.8828,0.8947,2.4286
Dataset\Gambo\Train\Normal\G-765.png,G-765.png,Train,Normal,0,0,0.142857,12.8125,15.0893,1.1111,2.1429
Dataset\Gambo\Train\Reversal\6_10213.png,6_10213.png,Train,Reversal,6,1,0.195153,16.098,14.2745,1.0,1.6429
Dataset\Gambo\Train\Normal\D-2016.png,D-2016.png,Train,Normal,0,0,0.179847,14.4681,14.4539,1.1111,2.3571
Dataset\Gambo\Train\Corrected\1_2912.png,1_2912.png,Train,Corrected,1,1,0.17602,12.1667,14.3551,0.9,2.1429
Dataset\Gambo\Train\Corrected\1_22342.png,1_22342.png,Train,Corrected,1,1,0.13648,13.5888,13.4019,1.1875,2.5714
Dataset\Gambo\Train\Reversal\6_159.png,6_159.png,Train,Reversal,6,1,0.21301,14.3114,13.4611,1.0,1.8571
Dataset\Gambo\Train\Reversal\6_22176.png,6_22176.png,Train,Reversal,6,1,0.147959,12.1379,16.1293,0.95,1.6429
Dataset\Gambo\Train\Corrected\1_15344.png,1_15344.png,Train,Corrected,1,1,0.149235,12.5214,12.5214,1.1875,2.9286
Dataset\Gambo\Train\Reversal\6_8308.png,6_8308.png,Train,Reversal,6,1,0.186224,13.0753,12.5137,1.0526,2.5714
Dataset\Gambo\Train\Corrected\1_23915.png,1_23915.png,Train,Corrected,1,1,0.105867,13.8313,12.1687,0.7778,2.6429
Dataset\Gambo\Train\Corrected\1_3232.png,1_3232.png,Train,Corrected,1,1,0.172194,13.4741,14.5556,1.0,3.0
Dataset\Gambo\Train\Corrected\1_19365.png,1_19365.png,Train,Corrected,1,1,0.122449,13.1562,12.9583,1.2,2.3571
Dataset\Gambo\Train\Corrected\1_20457.png,1_20457.png,Train,Corrected,1,1,0.133929,13.7619,12.4476,1.1176,1.9286
Dataset\Gambo\Train\Corrected\1_16836.png,1_16836.png,Train,Corrected,1,1,0.08801,13.0725,13.8261,1.3077,1.2857
Dataset\Gambo\Train\Corrected\1_18794.png,1_18794.png,Train,Corrected,1,1,0.096939,12.1447,11.8158,1.1333,2.0714
Dataset\Gambo\Train\Corrected\1_36157.png,1_36157.png,Train,Corrected,1,1,0.114796,13.2889,12.6889,0.7895,2.5
Dataset\Gambo\Train\Reversal\6_21797.png,6_21797.png,Train,Reversal,6,1,0.119898,14.3617,13.7979,1.2667,1.9286
Dataset\Gambo\Train\Reversal\6_10811.png,6_10811.png,Train,Reversal,6,1,0.221939,13.023,13.2529,1.0526,2.7143
Dataset\Gambo\Train\Corrected\1_25370.png,1_25370.png,Train,Corrected,1,1,0.131378,12.1456,12.1456,1.5833,2.0
Dataset\Gambo\Train\Corrected\1_22173.png,1_22173.png,Train,Corrected,1,1,0.104592,16.122,13.2195,0.7895,2.0
Dataset\Gambo\Train\Corrected\1_12967.png,1_12967.png,Train,Corrected,1,1,0.132653,12.5192,12.8173,1.1333,2.2857
Dataset\Gambo\Train\Corrected\1_14742.png,1_14742.png,Train,Corrected,1,1,0.104592,13.9634,13.2683,0.6842,1.8571
Dataset\Gambo\Train\Normal\D-1327.png,D-1327.png,Train,Normal,0,0,0.209184,13.2256,14.0061,1.0,2.4286
